Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,38,0,0,0,0,0,0,0,0,38,5,0,0,0,0,0,0,0,5,1,44
AF**-UNSPECIFIED,11,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF01-AIR FORCE MANAGEMENT ENGINEERING AGENCY,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,20,10,0,0,0,0,0,0,0,30,1,0,4,0,0,0,0,0,5,0,35
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,118,26,1,0,0,5,0,0,0,150,1,0,3,0,0,0,0,0,4,0,154
AF04-AIR FORCE COMMUNICATIONS AGENCY,215,19,2,1,0,2,0,0,0,239,8,0,10,0,0,0,0,0,18,0,257
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,2,0,0,2,0,50
AF06-AIR FORCE AUDIT AGENCY,647,13,2,59,0,3,3,0,0,727,0,1,3,0,0,0,0,0,4,0,731
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,134,13,357,3,0,76,1,0,0,584,3,5,0,0,0,0,0,0,8,0,592
AF08-AIR FORCE OFFICE OF SECURITY POLICE,22,7,0,0,0,0,0,0,0,29,7,0,0,0,0,0,0,0,7,0,36
AF09-AIR FORCE PERSONNEL CENTER,567,110,6,6,0,3,0,0,0,692,11,0,16,0,0,0,0,0,27,0,719
AF0B-U.S. AIR FORCE ACADEMY,825,180,6,7,0,9,0,0,0,1027,20,318,47,0,0,0,0,0,385,0,1412
"AF0D-U.S. AIR FORCES, EUROPE",958,145,20,0,0,39,0,0,0,1162,35,493,0,0,0,5,0,0,533,0,1695
AF0J-AIR EDUCATION AND TRAINING COMMAND,11246,1986,78,102,0,130,2,0,0,13544,736,285,472,0,0,3,0,0,1496,0,15040
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",9681,2611,4,12,0,207,5,0,0,12520,51,26,389,0,0,0,0,0,466,0,12986
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",673,111,35,1,0,34,64,1,0,919,13,7,2,1,4,12,0,0,39,0,958
AF0R-PACIFIC AIR FORCES,2411,502,12,4,0,58,0,0,0,2987,122,294,14,0,0,3,0,0,433,0,3420
"AF0U-AIR FORCE INTELLIGENCE, SURVEILLANCE, & RECONNAISSANCE AGENCY",0,0,0,13,0,1831,0,0,0,1844,0,0,0,0,0,26,0,0,26,0,1870
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,853,335,1,11,0,83,1,0,0,1284,111,117,6,0,0,2,0,0,236,0,1520
AF11-AIR FORCE MANPOWER AGENCY,231,52,1,0,0,2,0,0,0,286,1,0,0,0,0,0,0,0,1,0,287
AF12-AIR FORCE PUBLIC AFFAIRS AGENCY,6,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,8
AF13-HQ USAF AND SUPPORT ELEMENTS,7,1,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,9,0,17
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",31,10,1,0,0,0,1,0,0,43,2,0,5,0,0,0,0,0,7,0,50
AF1C-AIR COMBAT COMMAND,7513,1744,24,33,0,393,0,0,0,9707,417,129,148,0,0,37,0,0,731,0,10438
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,14,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
AF1L-AIR MOBILITY COMMAND,5952,1452,17,15,0,63,2,0,0,7501,314,465,66,0,0,11,0,0,856,0,8357
AF1M-AIR FORCE MATERIEL COMMAND,46043,6803,385,2175,0,1062,47,0,0,56515,962,78,848,0,0,9,0,0,1897,0,58412
AF1P-AIR FORCE REAL PROPERTY AGENCY,74,7,10,0,0,0,1,0,0,92,1,0,0,0,0,0,0,0,1,0,93
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,41,7,2,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50
"AF1R-AIR FORCE ELEMENTS, U.S. AFRICA COMMAND",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
