Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,20,3,0,0,0,0,1,0,0,24,25,0,0,0,1,0,0,0,26,0,50
AF**-UNSPECIFIED,11,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,13
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,23,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,1,0,24
AF03-AF OPERATIONAL TEST AND EVAL CTR,183,3,1,0,0,4,1,0,0,192,5,0,11,0,0,0,0,0,16,0,208
AF04-AIR FORCE COMMUNICATIONS AGENCY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF06-AIR FORCE AUDIT AGENCY,747,55,0,40,0,3,4,0,0,849,42,0,7,0,0,0,0,0,49,0,898
AF07-AF OFC OF SPECIAL INVESTIGATIONS,138,4,144,0,0,79,1,0,0,366,14,1,5,0,0,1,0,0,21,0,387
AF08-AIR FORCE OFFICE OF SECURITY POLICE,12,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF09-AIR FORCE PERSONNEL CENTER,1279,663,32,25,0,41,2,0,0,2042,39,3,24,0,0,0,0,0,66,0,2108
AF0B-U.S. AIR FORCE ACADEMY,1419,160,6,1,0,34,0,0,0,1620,107,148,104,0,0,0,0,0,359,0,1979
"AF0D-U.S. AIR FORCES, EUROPE",992,246,13,7,0,43,0,0,0,1301,105,830,0,0,0,9,0,0,944,0,2245
AF0J-AIR TRAINING COMMAND,11421,998,126,76,0,634,1,0,0,13256,703,53,226,0,0,2,0,0,984,1,14241
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",12247,1526,9,2,0,752,5,0,0,14541,280,4,202,0,0,5,0,0,491,2,15034
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",668,9,30,2,0,31,42,6,0,788,38,6,38,4,6,9,1,0,102,1,891
AF0R-PACIFIC AIR FORCES,2774,312,10,5,0,107,0,0,0,3208,268,335,74,0,0,6,0,0,683,2,3893
AF0U-ELECTRONIC SECURITY COMMAND,5,0,4,0,0,1957,0,0,0,1966,0,0,3,0,0,53,0,0,56,0,2022
AF10-AF CTR FOR QUALITY AND MGMT INNOVATION,76,2,0,2,0,1,0,0,0,81,0,0,0,0,0,0,0,0,0,0,81
AF1C-AIR COMBAT COMMAND,8277,569,25,35,0,408,1,0,2,9317,554,21,237,0,0,166,0,0,978,1,10296
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
AF1L-AIR MOBILITY COMMAND,6850,326,22,3,0,139,1,0,0,7341,375,20,97,0,0,5,0,0,497,1,7839
AF1M-AIR FORCE MATERIEL COMMAND,54294,4110,399,254,0,1089,71,0,0,60217,2162,27,770,0,0,23,1,0,2983,1,63201
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,24,2,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
AF1S-SPACE COMMAND,3603,195,15,13,0,186,0,0,0,4012,145,4,48,0,0,6,0,0,203,1,4216
AF1W-AF ENGINEERING AND SERVICES CTR,114,4,0,0,0,2,0,0,0,120,10,0,0,0,0,0,0,0,10,0,130
AF27-AF AGENCY FOR MODELING AND SIMULATION,11,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
AF28-AF COMMUNICATION AND INFORMATION CENTER,328,8,3,0,0,2,0,0,0,341,16,0,1,0,0,0,0,0,17,0,358
AF29-AF NAT SECURITY EMERGENCY PREPAREDNESS,4,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
AF2A-AIR FORCE COST CENTER,32,0,0,1,0,0,0,0,0,33,1,0,0,0,0,0,0,0,1,0,34
AF2B-AIR FORCE DOCTRINE CENTER,10,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,1,0,12
AF2D-AIR FORCE PERSONNNEL OPERATIONS AGENCY,18,1,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,2,0,21
AF2E-AIR FORCE LEGAL SERVICES CENTER,59,0,28,0,0,4,0,0,0,91,22,5,13,1,0,3,0,0,44,0,135
AF2F-AIR FORCE MEDICAL SERVICES CENTER,26,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,1,0,27
AF2G-AF SERVICE INFORMATION AND NEWS CENTER,65,6,0,0,0,3,0,0,0,74,2,0,0,0,0,0,0,0,2,0,76
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,6,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,7
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,411,13,7,0,0,5,0,0,0,436,9,0,21,0,0,0,0,0,30,0,466
AF2K-USAF HISTORICAL RESEARCH CTR,35,0,0,0,0,0,0,0,0,35,15,0,0,0,0,11,0,0,26,0,61
AF2M-AIR FORCE REVIEW BOARDS OFFICE,27,1,1,0,0,1,1,0,0,31,0,0,4,0,0,0,0,0,4,0,35
AF2N-AF CTR FOR STUDIES AND ANALYSES,19,0,0,0,0,1,1,0,0,21,1,0,0,0,0,0,0,0,1,0,22
AF2Q-AIR WEATHER SERVICE,131,25,0,0,0,7,0,0,0,163,25,0,0,0,0,0,0,0,25,0,188
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,9,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,12
AF2S-HQ NORAD,22,1,0,0,0,9,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32
AF2T-AIR FORCE SUPPLY CENTER,50,2,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,53
"AF2U-AIR FORCE MORALE, WELFARE & REC CENTER",169,2,5,0,0,1,0,0,0,177,8,0,2,0,0,0,0,0,10,0,187
AF2V-AIR FORCE DISPOSAL AGENCY,239,3,9,0,0,2,1,0,0,254,9,1,2,0,0,0,0,0,12,0,266
AF2W-AIR FORCE DISTRICT OF WASHINGTON,836,67,12,9,0,30,0,0,0,954,164,3,45,0,0,50,0,0,262,1,1217
AF2X-AIR FORCE REAL ESTATE AGENCY,10,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,278,12,3,9,0,7,0,0,0,309,7,0,8,0,0,0,0,0,15,0,324
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,64,5,0,0,0,1,0,0,0,70,4,2,1,0,0,0,0,0,7,0,77
AF34-AIR NAT GUARD UNITS (MOBIL) (TITLE 5),850,57,0,1,0,71,0,0,0,979,36,0,0,0,0,0,0,0,36,0,1015
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",73,28,0,0,0,62,1,0,0,164,5,9,0,0,0,3,0,0,17,0,181
