Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AA00-ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,2,2,6,0,0,0,2,0,0,12,0,0,0,0,1,0,0,0,1,0,13
AB**-UNSPECIFIED,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,4
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,24,2,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,1,1,28
AF02-AIR FORCE INSPECTION AGENCY (FO),21,10,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,126,89,1,0,0,5,1,0,0,222,3,0,9,0,0,0,0,0,12,0,234
AF04-AIR FORCE COMMUNICATIONS AGENCY,119,29,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,148
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,60
AF06-AIR FORCE AUDIT AGENCY,625,60,0,28,0,0,2,0,0,715,1,1,3,0,0,0,0,0,5,0,720
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,118,78,366,0,0,98,2,0,0,662,3,4,0,0,0,1,0,0,8,0,670
AF08-AIR FORCE OFFICE OF SECURITY POLICE,28,19,0,0,0,1,0,0,0,48,6,0,0,0,0,0,0,0,6,0,54
AF09-AIR FORCE PERSONNEL CENTER,1055,391,7,27,0,7,2,0,0,1489,20,0,4,0,0,1,0,0,25,0,1514
AF0B-U.S. AIR FORCE ACADEMY,801,240,6,7,0,2,0,0,0,1056,29,302,29,0,0,0,0,0,360,0,1416
"AF0D-U.S. AIR FORCES, EUROPE",1001,320,10,0,0,72,0,0,0,1403,36,590,0,0,0,3,0,0,629,0,2032
AF0J-AIR EDUCATION AND TRAINING COMMAND,11689,3695,103,100,0,172,3,0,0,15762,812,211,415,0,0,4,0,0,1442,0,17204
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",9636,2926,7,11,0,149,2,0,0,12731,101,3,372,0,0,0,0,0,476,0,13207
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AF0R-PACIFIC AIR FORCES,2083,851,98,3,0,79,0,0,0,3114,72,274,8,0,0,1,0,0,355,0,3469
"AF0U-AIR FORCE INTELLIGENCE, SURVEILLANCE, & RECONNAISSANCE AGENCY",0,0,0,1,0,2181,0,0,0,2182,0,0,0,0,0,16,0,0,16,1,2199
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,971,464,3,9,0,140,1,0,0,1588,144,40,1,0,0,1,0,0,186,0,1774
AF11-AIR FORCE MANPOWER AGENCY,177,67,1,1,0,2,0,0,0,248,0,0,0,0,0,0,0,0,0,0,248
AF12-AIR FORCE PUBLIC AFFAIRS AGENCY,32,11,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,43
AF13-HQ USAF AND SUPPORT ELEMENTS,1351,640,84,3,0,200,78,4,0,2360,11,7,0,7,6,115,0,0,146,0,2506
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
AF1C-AIR COMBAT COMMAND,7249,2441,23,13,0,306,3,0,0,10035,339,35,173,0,0,11,0,0,558,0,10593
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,14,7,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,1,0,22
AF1L-AIR MOBILITY COMMAND,6627,2002,22,11,0,55,2,0,0,8719,259,551,99,0,0,0,0,0,909,0,9628
AF1M-AIR FORCE MATERIEL COMMAND,46814,13916,369,1245,0,1206,49,0,0,63599,673,49,616,0,0,9,0,0,1347,0,64946
AF1P-AIR FORCE REAL PROPERTY AGENCY,83,19,13,0,0,0,1,0,0,116,0,0,0,0,0,0,0,0,0,0,116
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,44,8,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,52
AF1S-SPACE COMMAND,4783,1752,62,52,0,1269,3,0,0,7921,185,38,29,0,0,55,0,0,307,1,8229
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,99,52,2,0,0,1,0,0,0,154,15,0,0,0,0,0,0,0,15,0,169
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,404,1172,46,208,0,76,0,0,0,1906,12,0,0,0,0,3,0,0,15,0,1921
AF20-AIR FORCE AGENCY FOR MODELING/SIMULATION,10,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
AF25-AF-WIDE SUPPORT ELEMENT,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2A-AIR FORCE COST ANALYSIS AGENCY,74,28,1,0,0,0,0,0,0,103,0,0,1,0,0,0,0,0,1,0,104
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,201,91,0,0,0,0,0,0,0,292,0,0,1,0,0,0,0,0,1,0,293
AF2E-AIR FORCE LEGAL SERVICES CENTER,112,38,106,2,0,5,0,0,0,263,1,4,2,0,0,0,0,0,7,0,270
AF2F-AIR FORCE MEDICAL SERVICES CENTER,55,30,2,0,0,0,0,0,0,87,10,0,1,0,0,0,0,0,11,0,98
AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,380,273,7,1,0,12,1,0,0,674,29,0,18,0,0,0,0,0,47,0,721
AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,44,13,0,0,0,1,0,0,0,58,3,0,0,0,0,0,0,0,3,0,61
AF2L-AIR FORCE TECHNICAL APPLICATIONS CENTER,0,0,0,0,0,329,0,0,0,329,0,0,0,0,0,5,0,0,5,0,334
AF2M-AIR FORCE REVIEW BOARDS OFFICE,35,16,3,1,0,0,2,0,0,57,0,0,2,0,0,0,0,0,2,0,59
AF2Q-AIR WEATHER SERVICE,147,207,0,1,0,0,0,0,0,355,1,0,0,0,0,0,0,0,1,0,356
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,28,7,1,0,0,0,1,0,0,37,1,0,0,0,0,0,0,0,1,0,38
AF2S-HQ NORAD,25,59,0,0,0,0,0,0,0,84,2,0,0,0,0,0,0,0,2,0,86
AF2T-AIR FORCE SUPPLY CENTER,54,25,1,3,0,0,0,0,0,83,0,0,5,0,0,0,0,0,5,0,88
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",141,19,0,0,0,0,1,0,0,161,1,0,0,0,0,0,0,0,1,0,162
AF2W-11TH WING,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,112,29,0,0,0,0,0,0,0,141,6,0,4,0,0,0,0,0,10,0,151
AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),461,150,0,3,0,4,0,0,0,618,19,2,10,0,0,1,0,0,32,0,650
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",151,186,4,0,0,16,3,0,0,360,19,3,0,0,0,3,0,0,25,0,385
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",599,298,8,1,0,24,8,0,0,938,14,0,0,0,0,1,0,0,15,0,953
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",27,16,0,0,0,194,0,0,0,237,36,0,0,0,0,1,0,0,37,0,274
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",603,620,74,34,0,157,6,0,0,1494,25,0,17,0,0,6,0,0,48,0,1542
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",376,111,10,1,0,0,4,0,0,502,6,0,1,0,0,1,0,0,8,0,510
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",326,105,6,5,0,102,3,0,0,547,8,37,1,0,0,15,0,0,61,0,608
AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,358,37,9,0,0,1,1,0,0,406,5,3,0,0,0,0,0,0,8,0,414
AF3Y-AIR FORCE FREQUENCY MANAGEMENT AGENCY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",319,229,3,0,0,30,5,0,0,586,25,0,0,0,0,13,0,0,38,0,624
AF4W-AIR FORCE DISTRICT OF WASHINGTON,834,208,7,7,0,16,0,0,0,1072,43,3,25,0,0,0,0,0,71,0,1143
AF5J-AIR FORCE FINANCIAL SERVICES,29,97,1,0,0,3,0,0,0,130,0,0,0,0,0,0,0,0,0,0,130
AF5K-AIR FORCE PETROLEUM AGENCY,58,7,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,65
AFGS-AIR FORCE GLOBAL STRIKE COMMAND,1814,750,8,7,0,31,2,0,0,2612,142,7,12,0,0,2,0,0,163,1,2776
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),256,59,0,0,1,18695,0,0,0,19011,8,35,2,0,0,2823,0,0,2868,0,21879
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,0,0,0,0,161,0,0,0,162,0,1,0,0,0,109,0,0,110,0,272
AG**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,23,5,0,0,0,1,5,24,0,58,8,14,15,32,10,4,1,0,84,0,142
AG02-AGRICULTURAL MARKETING SERVICE,1798,319,4,18,0,12,12,0,0,2163,5,1979,7,0,0,0,0,0,1991,0,4154
