Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,37,15,0,0,0,0,0,0,1,53,9,0,0,0,1,0,0,0,10,1,64
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,16,5,0,1,0,0,0,0,0,22,0,0,3,0,0,0,0,0,3,0,25
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,149,21,1,1,0,5,1,0,0,178,1,0,17,0,0,0,0,0,18,0,196
AF04-AIR FORCE COMMUNICATIONS AGENCY,252,31,3,2,0,2,0,0,0,290,16,0,10,0,0,0,0,0,26,0,316
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,34,0,0,0,34,0,0,0,0,0,0,0,0,0,0,34
AF06-AIR FORCE AUDIT AGENCY,621,102,0,46,0,1,3,0,0,773,10,1,2,0,0,0,0,0,13,0,786
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,111,28,408,3,0,74,2,0,0,626,5,3,10,0,0,0,0,0,18,0,644
AF08-AIR FORCE OFFICE OF SECURITY POLICE,10,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,0,11
AF09-AIR FORCE PERSONNEL CENTER,859,85,5,14,0,42,1,0,0,1006,21,1,11,0,0,0,0,0,33,0,1039
AF0B-U.S. AIR FORCE ACADEMY,884,160,6,3,0,26,0,0,0,1079,14,216,23,0,0,0,0,0,253,0,1332
"AF0D-U.S. AIR FORCES, EUROPE",917,146,14,1,0,48,0,0,0,1126,38,691,0,0,0,6,0,0,735,0,1861
AF0J-AIR EDUCATION AND TRAINING COMMAND,11268,2042,79,104,0,602,2,0,0,14097,485,140,341,0,0,13,0,0,979,0,15076
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",10847,2135,3,12,0,501,5,0,0,13503,74,2,630,0,0,1,0,0,707,0,14210
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",574,98,38,13,0,31,47,4,0,805,17,4,25,5,3,6,1,0,61,0,866
AF0R-PACIFIC AIR FORCES,2469,496,12,8,0,72,0,0,0,3057,92,259,6,0,0,4,0,0,361,0,3418
AF0U-HQ AIR INTELLIGENCE AGENCY,1,2,0,6,0,2088,0,0,0,2097,2,3,0,0,0,48,0,0,53,0,2150
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,751,183,10,9,0,71,0,0,0,1024,73,28,21,0,0,10,0,0,132,0,1156
AF10-AIR FORCE CENTER FOR QUALITY AND MANAGEMENT INNOVATION,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
AF11-AIR FORCE MANPOWER AGENCY,67,27,0,0,0,5,0,0,0,99,1,0,0,0,0,0,0,0,1,0,100
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",28,8,0,0,0,4,1,0,0,41,7,0,0,0,0,0,0,0,7,0,48
AF1C-AIR COMBAT COMMAND,6957,1838,32,39,0,513,1,0,0,9380,330,293,141,0,0,3,0,0,767,0,10147
