Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,22,2,0,0,0,0,1,0,0,25,25,0,0,0,1,0,0,0,26,0,51
AC00-ADV CMSN ON INTERGOVERNMENTAL RELATIONS,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,16,0,0,16,0,19
AD00-U.S. ARMS CONTROL AND DISARMAMENT AGENCY,136,10,10,0,0,2,15,2,0,175,4,0,11,5,2,57,3,0,82,0,257
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,21,1,0,0,0,0,0,0,0,22,1,0,4,0,0,0,0,0,5,0,27
AF03-AF OPERATIONAL TEST AND EVAL CTR,211,4,1,0,0,5,1,0,0,222,2,0,8,0,0,0,0,0,10,0,232
AF04-AIR FORCE COMMUNICATIONS AGENCY,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AF06-AIR FORCE AUDIT AGENCY,775,27,0,26,0,3,4,0,0,835,65,0,5,0,0,0,0,0,70,1,906
AF07-AF OFC OF SPECIAL INVESTIGATIONS,145,3,135,0,0,68,1,0,0,352,16,1,9,0,0,4,0,0,30,0,382
AF08-AIR FORCE OFFICE OF SECURITY POLICE,12,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF09-AIR FORCE PERSONNEL CENTER,1201,535,30,8,0,38,1,0,0,1813,44,0,18,0,0,0,0,0,62,1,1876
AF0B-U.S. AIR FORCE ACADEMY,1387,199,8,0,0,36,0,0,0,1630,90,138,28,0,0,0,0,0,256,1,1887
"AF0D-U.S. AIR FORCES, EUROPE",1091,237,15,0,0,41,0,0,0,1384,162,774,0,0,0,10,0,0,946,2,2332
AF0J-AIR TRAINING COMMAND,11447,1094,126,59,0,858,1,0,0,13585,817,56,224,0,0,4,0,0,1101,1,14687
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",12420,1355,11,0,0,875,5,0,0,14666,233,0,141,0,0,2,0,0,376,5,15047
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",712,8,29,9,0,35,39,4,0,836,30,0,43,5,3,6,1,0,88,1,925
AF0R-PACIFIC AIR FORCES,2886,280,15,4,0,94,0,0,0,3279,329,337,49,0,0,9,0,0,724,0,4003
AF0U-ELECTRONIC SECURITY COMMAND,5,0,6,0,0,2005,0,0,0,2016,0,0,2,0,0,46,0,0,48,0,2064
AF10-AF CTR FOR QUALITY AND MGMT INNOVATION,80,4,0,2,0,2,0,0,0,88,1,0,0,0,0,0,0,0,1,0,89
AF1C-AIR COMBAT COMMAND,8489,530,24,19,0,391,1,0,2,9456,579,26,214,0,0,304,0,0,1123,1,10580
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,10,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,11
AF1L-AIR MOBILITY COMMAND,7169,315,24,1,0,147,1,0,0,7657,431,24,97,0,0,34,0,0,586,1,8244
AF1M-AIR FORCE MATERIEL COMMAND,59399,2707,402,53,0,950,72,0,0,63583,2923,31,672,0,0,14,1,0,3641,3,67227
