Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,42,7,0,0,0,0,0,0,0,49,8,0,0,0,1,0,0,0,9,1,59
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,22,2,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,157,7,0,0,0,5,0,0,0,169,0,0,13,0,0,0,0,0,13,0,182
AF04-AIR FORCE COMMUNICATIONS AGENCY,264,13,3,3,0,2,0,0,0,285,11,0,6,0,0,0,0,0,17,0,302
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,35
AF06-AIR FORCE AUDIT AGENCY,684,4,0,45,0,7,4,0,0,744,2,0,2,0,0,0,0,0,4,0,748
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,148,0,387,4,0,81,2,0,0,622,3,5,2,0,0,0,0,0,10,0,632
AF08-AIR FORCE OFFICE OF SECURITY POLICE,18,0,0,0,0,1,0,0,0,19,7,0,0,0,0,0,0,0,7,0,26
AF09-AIR FORCE PERSONNEL CENTER,817,65,6,4,0,25,1,0,0,918,13,0,2,0,0,0,0,0,15,0,933
AF0B-U.S. AIR FORCE ACADEMY,869,116,5,3,0,17,0,0,0,1010,12,241,21,0,0,0,0,0,274,0,1284
"AF0D-U.S. AIR FORCES, EUROPE",1078,8,15,1,0,36,0,0,0,1138,28,570,0,0,0,4,0,0,602,0,1740
AF0J-AIR EDUCATION AND TRAINING COMMAND,11626,1434,66,66,0,397,3,0,0,13592,406,159,143,0,0,8,0,0,716,0,14308
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",10552,1628,6,11,0,564,5,0,0,12766,107,0,244,0,0,1,0,0,352,0,13118
