Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,15,0,0,0,0,0,1,0,0,16,22,0,0,0,1,0,0,0,23,1,40
AF**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,16,2,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,2,0,20
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,143,17,0,0,0,5,1,0,0,166,2,0,16,0,0,0,0,0,18,0,184
AF04-AIR FORCE COMMUNICATIONS AGENCY,228,20,3,1,0,1,0,0,0,253,16,0,9,0,0,0,0,0,25,0,278
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
AF06-AIR FORCE AUDIT AGENCY,575,91,0,44,0,1,3,0,0,714,19,1,3,0,0,0,0,0,23,0,737
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,103,28,365,0,0,76,2,0,0,574,0,3,2,0,0,0,0,0,5,0,579
AF08-AIR FORCE OFFICE OF SECURITY POLICE,12,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,1,0,13
AF09-AIR FORCE PERSONNEL CENTER,1150,747,26,390,0,75,1,0,0,2389,19,1,14,0,0,1,0,0,35,0,2424
AF0B-U.S. AIR FORCE ACADEMY,860,184,5,3,0,24,0,0,0,1076,9,186,31,0,0,0,0,0,226,0,1302
"AF0D-U.S. AIR FORCES, EUROPE",917,155,10,3,0,52,0,0,0,1137,49,743,0,0,0,17,0,0,809,0,1946
AF0J-AIR TRAINING COMMAND,10558,2127,78,98,0,524,2,0,0,13387,474,139,326,0,0,6,0,0,945,1,14333
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",10806,2117,6,12,0,520,6,0,0,13467,79,14,603,0,0,0,0,0,696,1,14164
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",561,81,31,20,0,27,46,7,0,773,16,3,36,2,6,0,0,0,63,0,836
AF0R-PACIFIC AIR FORCES,2454,436,12,5,0,59,0,0,0,2966,206,247,22,0,0,5,0,0,480,0,3446
AF0U-HQ AIR INTELLIGENCE AGENCY,0,0,0,4,0,1901,0,0,0,1905,1,1,0,0,0,44,0,0,46,0,1951
AF10-AIR FORCE CENTER FOR QUALITY AND MANAGEMENT INNOVATION,51,7,0,0,0,4,0,0,0,62,2,0,0,0,0,0,0,0,2,0,64
AF11-AIR FORCE MANPOWER AGENCY,10,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
