Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AA00-ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,2,1,6,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,1,0,11
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,34,0,0,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,6,0,40
AF**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF01-AIR FORCE MANAGEMENT ENGINEERING AGENCY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,23,15,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,38
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,121,53,1,3,0,4,1,0,0,183,4,0,2,0,0,0,0,0,6,0,189
AF04-AIR FORCE COMMUNICATIONS AGENCY,197,26,0,0,0,0,0,0,0,223,9,0,10,0,0,0,0,0,19,0,242
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,41
AF06-AIR FORCE AUDIT AGENCY,624,23,1,70,0,0,3,0,0,721,3,1,3,0,0,0,0,0,7,0,728
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,128,32,334,2,0,77,2,0,0,575,3,13,0,0,0,0,0,0,16,0,591
AF08-AIR FORCE OFFICE OF SECURITY POLICE,24,13,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0,0,6,0,43
AF09-AIR FORCE PERSONNEL CENTER,796,319,6,13,0,10,2,0,0,1146,24,1,10,0,0,0,0,0,35,0,1181
AF0B-U.S. AIR FORCE ACADEMY,813,208,6,8,0,6,0,0,0,1041,30,334,66,0,0,0,0,0,430,0,1471
"AF0D-U.S. AIR FORCES, EUROPE",989,221,12,0,0,47,0,0,0,1269,44,575,0,0,0,4,0,0,623,0,1892
AF0J-AIR EDUCATION AND TRAINING COMMAND,10941,2573,85,143,0,144,1,0,0,13887,824,242,568,0,0,17,0,0,1651,0,15538
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",9459,2847,5,13,0,140,5,0,0,12469,80,26,428,0,0,0,0,0,534,0,13003
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",658,173,33,0,0,39,66,4,0,973,9,4,1,3,5,17,0,0,39,0,1012
AF0R-PACIFIC AIR FORCES,2169,660,10,8,0,64,0,0,1,2912,117,318,10,0,0,2,0,0,447,0,3359
"AF0U-AIR FORCE INTELLIGENCE, SURVEILLANCE, & RECONNAISSANCE AGENCY",0,0,0,5,0,1890,0,0,0,1895,0,0,1,0,0,17,0,0,18,0,1913
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,896,428,3,17,0,93,1,0,0,1438,151,79,61,0,0,10,0,0,301,0,1739
AF11-AIR FORCE MANPOWER AGENCY,240,72,2,6,0,3,0,0,0,323,2,0,0,0,0,0,0,0,2,0,325
AF12-AIR FORCE PUBLIC AFFAIRS AGENCY,19,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24
AF13-HQ USAF AND SUPPORT ELEMENTS,84,48,13,1,0,0,10,0,0,156,1,3,1,1,1,9,0,0,16,0,172
